id	owner	object_type
0x271b708cbf004bdcd425ee2302f442f1355e68eafb862b1041a83cc13b111cb6	0x285529d7fd13ffcda9d89cd250b4025ba9226c0e2e57f5ca3d739cb236dc259d	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x4e5ceb9b30a672308137d1d636497c805340a7d29a927adb150dd1354f924bf0	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xaddb930a5cc4590f9bf2956f637cb8b8e14af18564c03ea1a49c5b2437d9ef06	0x701c21bf1c8cd5af8c42983890d8ca55e7a820171b8e744c13f2d9998bf76cc3	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x29344e813f7dec57c632a72c07c5c0ec653a094d524bfc221f6ab3a32d5de9c5	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x8dda00947d4abdbcbb0c1ae7395731152bf466a54f4b971a4c145321087ecd93	0xc2b43ccf38f8621458b86787e4d961263ee37b3595b535f8d8728b6544110ab	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xb6fc47ae8cbd3d22dcb2f6b1c17a0e5ce926ab0efb799fab28e31c5acbe752d1	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xd5a401bf864268ae12112f0e7baa98ee195fd92c4d824f09b60b10b9616e7168	0x8a30022284f2fa55e2ff0b77654716d79a5a76ef926952c50a65fb07d9767348	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x9063537a58fd9096f5853b2e5fd53405d753acb8d86a1432ce897253be4dafe2	0x23593f0aabfdefb797a71ad45df5e4a742c7f73b33d570cdb81df7fa772e6286	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x858db5c6f0b67efd54ff47a64cb33c106b2bf224ef1e0c1bfba7debead400784	0xda7bdf2e793088204463c3934b9794847ff279d0be053b68bc64ca0aa5d45e74	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x126ac8c4afd7cde00f1971cbc01e1e90e11f417dbc1a4205a9705bee331fcb2f	0xbc60c8f7c567bb9f6969be2f2b9fd802fe1634acd40f2d889d103a3d6418e762	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xf470e0c9ed5b855f668f5b679e530501c7df428ea4fb62eeb14e857a62c608aa	0x9ce8eaf2166e9a6d4e8f1d27626297a0cf5ba1eaeb31137e08cc8f7773fb83f8	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x4c464bb6116a5504606fd9f3e9ec17babf04533d33d9a3a0ed774b10e3544306	0x694cbe655b126e9e6a997e86aaab39e538abf30a8c78669ce23a98740b47b65d	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x2adcd339cc16a238dad892e31928877456ce168eba7c90b15a94019f865783b0	0x76dae881c28a36fa64f313bdda2a3a6613d14931b472f63089f2cd5f2fe41103	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x120569ad9431fc870f738b247ef3de78b3599bf63c3a8c3dd1161e3901a7da28	0x9a759932a6640790b3e2a5fefdf23917c8830dcd8998fe8af3f3b49b0ab5ca35	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xc37dbb0d62f9e51f5071416868ace1309ae3418df0ee1a58ddcb12fd52b35da8	0x9ade46634d15f000fca7bac2f2212119d823c453846f0d5c4e440136aca0f65c	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xec59cc2e585aa474daa4879af4498ce37b67a60db6686ff2f46bdfaa56b1b837	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xe3622beb12a5eae5c6f3b76604352a7ce3513f27a2606fcbecaec04ced18837d	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xe3a480f63c8c3299a660ee6730e125c52221849ed78aa09b0fb961d26b6c34b1	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x053569bff0a8e74238c5c7de52d415301bf81ce38346fa85cfa8322fd9b54197	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x6e7c340b8bd6deb84dbbd93215ce6ab875005473f81bbe15c551ad1f0a9c5161	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xe72e773c750e77283eee5ed427e82ea7c717a6ae9735c7cd3a612d7531a67713	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x1dda3208edf4dc4bd4708ebf09045ac56436243a6faa94b81047a9440c1bc1f8	0x0	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xdc26dac53271c42e277a046cc74edc1946cac6a6fa285a96b27683990f04914a	0xe475c9e1cead99dab14a178af06fbf374695b94b148cec3d98ccbcd1b652864c	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xf342730cb1c1c355dabd7237528d060fb5617f5aa4fa8018e7bb7d2d3427f068	0xe46e8dec8bca0eede66e3852b3b3f918f93531dab6402c2106c0ef327b195d38	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xb922236bf84931ac962afe9dbfdd8af4b1de388138410bbddc35c65442047ecd	0xbe8497ea7dd32841580432adda85a79affeb2c598e85895963a2a266342a74a	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x93485074f52dc27939f3910a405bacd84d14410c115bcd7c9e06e0de9e809120	0x4c5e492868a63d7586ce2128e068a35914b5d6f9490cd153261cfbdd6ec3941a	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xcc8b74a8cd05d7a5009228bf779b2b46a0f30dda21d7f3f7e4fb9ff5f1e538fd	0x26f85b9e08a3c6bc23b5b1c4a61560b350f8107f70c6c7029aa85011c3b2b951	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xe4d8e410aef8790089381aada6636e681eb8c83366f8f743450b0cff5dc7729e	0x42cd50f75dd7e74a7c4671631268e5013960f19a8223b68720b417f8d817de40	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x2dfbbd303be8e49ea03ecf76cedfcb69da24faf1e97344546432930cbce16e2b	0xe9b9053591c0a3ff008b8f029c82b9c14148270e4dc58ea2796b70b46123b830	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xb01d07dc89a000a8d5f23925255c42dfcea331659e1bd76bc682c381bcdcdc12	0x4ecd3ca14d35e4584d3c619c885369a95297fbed11fd51bbe2d6d17c47fc8e5c	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0xaf2e99231953f42ccafc7031069d965044862930f2b7adbf48286353054dce19	0xd8e3b5562034dc93e5b45335dff16453dac5bfb8207fbb38fffb406ecd0b95f5	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
0x43c79b92a38dda8e82f3c8ed2684114e50836b40571e56dff8393244f62d21e5	0xfde8e7c4f37a8cf794f3a7dcc905a815a41bf235b0c05b5d8284e7e93c23b52a	0x3::coin_store::CoinStore<0x3::gas_coin::RGas>
